"Time_Iter","Outer_Iter","Inner_Iter",    "Cur_Time"    ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           9,                 0,        -5.4877452,      -2.409464289,      -3.165180292,    -0.01955772768,      -1.606444522,       2.979427033
          1,           0,           9,             0.003,      -6.284169888,      -2.713869204,      -3.823136981,     -0.8247033229,      -1.653335911,       2.595248309
          2,           0,           9,             0.006,      -6.886435645,       -2.89933497,      -3.982729054,      -1.452035644,      -1.791280214,       2.256520594
          3,           0,           9,             0.009,      -7.125468807,      -3.039306474,      -4.018897479,      -1.717430112,      -1.939352667,       2.050740231
          4,           0,           9,             0.012,      -7.208141134,      -3.151097755,      -4.041430091,      -1.804187607,       -2.07365378,        1.90718515
          5,           0,           9,             0.015,      -7.250186008,      -3.242015679,      -4.056014388,      -1.841550562,      -2.189770685,       1.783142936
          6,           0,           9,             0.018,       -7.27516271,      -3.316828696,      -4.064752746,      -1.860858574,      -2.290030493,        1.67220087
          7,           0,           9,             0.021,      -7.289472007,      -3.378998141,      -4.069541268,      -1.871774377,       -2.37787615,       1.574197219
          8,           0,           9,             0.024,      -7.297033868,      -3.431180891,      -4.072036536,      -1.879404584,      -2.456138415,       1.488077411
          9,           0,           9,             0.027,      -7.300518607,       -3.47554146,       -4.07353847,      -1.886952987,       -2.52685652,       1.411838387
